Date,Pond_ID,Pond_Type,Target_Species,Season,Water_Temp_C,Weather_Condition,Rainfall_mm,pH_Level,Ammonia_ppm,Dissolved_Oxygen_mgL,Mortality_Count,Fish_Count,Daily_Feed_kg,Est_Avg_Weight_g,Feed_Cost_NPR,Labor_Cost_NPR,Market_Price_NPR,Estimated_Revenue_NPR,Daily_Profit_Loss_NPR,Stocking_Density,Harvest_Ready
2022-02-25,GrowOut-A,Farming,Pangasius,Winter,17.9,Cold,0.0,7.0,0.03,10.5,2,9762,10.6,86.1,1091,575,212,178224,-553,Low,No
2022-02-26,GrowOut-A,Farming,Pangasius,Winter,14.7,Cloudy,0.0,7.4,0.03,11.3,2,9760,12.6,100.8,1368,830,205,201722,-1209,Low,No
2022-02-27,GrowOut-A,Farming,Pangasius,Winter,18.5,Sunny,0.0,7.3,0.07,10.5,1,9759,16.2,125.8,1727,893,213,261523,-2399,Low,No
2022-02-28,GrowOut-A,Farming,Pangasius,Winter,17.0,Cloudy,0.0,7.4,0.03,11.3,2,9757,14.9,117.9,1546,893,201,231268,-1902,Low,No
2022-03-01,GrowOut-A,Farming,Pangasius,Spring,19.3,Cloudy,0.0,7.3,0.04,10.3,0,9757,15.2,110.2,1577,684,205,220420,-2235,Low,No
2022-03-02,GrowOut-A,Farming,Pangasius,Spring,19.8,Cloudy,0.0,7.7,0.06,10.2,0,9757,16.9,137.2,1672,644,213,285135,-1876,Low,No
2022-03-03,GrowOut-A,Farming,Pangasius,Spring,17.0,Cloudy,0.0,7.7,0.04,10.2,1,9756,14.2,110.9,1384,855,217,234805,-2215,Low,No
2022-03-04,GrowOut-A,Farming,Pangasius,Spring,18.5,Partly Cloudy,0.0,7.3,0.04,10.9,2,9754,15.9,113.8,1687,536,211,234259,-1327,Low,No
2022-03-05,GrowOut-A,Farming,Pangasius,Spring,16.9,Sunny,0.0,7.9,0.04,12.0,0,9754,18.1,127.4,1926,633,212,263444,-3348,Low,No
2022-03-06,GrowOut-A,Farming,Pangasius,Spring,18.2,Partly Cloudy,0.0,7.6,0.01,10.2,1,9753,13.3,94.6,1425,595,209,192850,-1882,Low,No
2022-03-07,GrowOut-A,Farming,Pangasius,Spring,16.7,Cold,0.0,7.3,0.04,11.7,0,9753,17.6,136.6,2010,781,216,287768,-3206,Low,No
2022-03-08,GrowOut-A,Farming,Pangasius,Spring,17.4,Sunny,0.0,7.3,0.04,10.9,1,9752,16.2,131.6,1569,878,206,264400,-1377,Low,No
2022-03-09,GrowOut-A,Farming,Pangasius,Spring,19.5,Sunny,0.0,7.4,0.04,11.0,0,9752,20.7,155.3,1986,893,197,298354,-1631,Low,No
2022-03-10,GrowOut-A,Farming,Pangasius,Spring,20.3,Sunny,0.0,7.5,0.03,10.0,1,9751,27.1,144.1,2887,773,215,302132,-2905,Low,No
2022-03-11,GrowOut-A,Farming,Pangasius,Spring,20.4,Sunny,0.0,7.1,0.04,9.8,0,9751,22.2,133.5,2505,837,214,278576,-3962,Low,No
2022-03-12,GrowOut-A,Farming,Pangasius,Spring,20.0,Partly Cloudy,0.0,7.3,0.04,10.0,1,9750,26.4,146.3,2875,659,203,289594,-3509,Low,No
2022-03-13,GrowOut-A,Farming,Pangasius,Spring,21.2,Sunny,0.0,7.2,0.06,10.6,0,9750,26.9,150.5,2915,895,200,293475,-3674,Low,No
2022-03-14,GrowOut-A,Farming,Pangasius,Spring,19.5,Partly Cloudy,0.0,7.6,0.04,10.4,0,9750,22.3,161.9,2344,824,222,350433,-2485,Low,No
2022-03-15,GrowOut-A,Farming,Pangasius,Spring,20.2,Sunny,0.0,7.3,0.06,9.7,1,9749,29.9,179.8,2995,561,214,375153,-3305,Low,No
2022-03-16,GrowOut-A,Farming,Pangasius,Spring,18.9,Cloudy,0.0,7.5,0.03,10.8,1,9748,22.0,164.5,2284,771,214,343194,-2499,Low,No
2022-03-17,GrowOut-A,Farming,Pangasius,Spring,16.7,Cloudy,0.0,7.4,0.03,11.5,0,9748,22.8,179.4,2235,622,208,363749,-1051,Low,No
2022-03-18,GrowOut-A,Farming,Pangasius,Spring,18.6,Sunny,0.0,7.4,0.04,10.7,1,9747,20.2,160.6,2107,478,218,341285,-2292,Low,No
2022-03-19,GrowOut-A,Farming,Pangasius,Spring,19.0,Cloudy,0.0,7.8,0.05,10.8,0,9747,25.5,184.1,2872,709,217,389390,-3864,Low,No
2022-03-20,GrowOut-A,Farming,Pangasius,Spring,17.8,Cloudy,0.0,7.4,0.06,10.8,2,9745,20.4,163.5,2302,826,217,345819,-1724,Low,No
2022-03-21,GrowOut-A,Farming,Pangasius,Spring,20.6,Cloudy,0.0,7.0,0.06,9.8,3,9742,29.5,218.4,3091,573,218,463971,-3803,Low,No
2022-03-22,GrowOut-A,Farming,Pangasius,Spring,20.2,Partly Cloudy,0.0,7.0,0.06,10.1,0,9742,28.4,206.9,3109,828,211,425296,-4273,Low,No
2022-03-23,GrowOut-A,Farming,Pangasius,Spring,20.5,Cloudy,0.0,6.9,0.04,9.7,0,9742,32.4,208.6,3462,748,216,438951,-2081,Low,No
2022-03-24,GrowOut-A,Farming,Pangasius,Spring,20.5,Sunny,0.0,7.7,0.09,10.1,3,9739,32.2,223.9,3227,597,221,482053,-2904,Low,No
2022-03-25,GrowOut-A,Farming,Pangasius,Spring,19.9,Partly Cloudy,0.0,7.3,0.03,10.4,0,9739,22.1,175.6,2286,826,214,365976,-3377,Low,No
2022-03-26,GrowOut-A,Farming,Pangasius,Spring,19.4,Cloudy,0.0,7.6,0.08,10.2,0,9739,23.1,164.3,2298,481,214,342425,-2054,Low,No
2022-03-27,GrowOut-A,Farming,Pangasius,Spring,21.4,Sunny,0.0,8.0,0.06,9.8,0,9739,35.7,257.2,3406,519,219,548567,-1887,Low,No
2022-03-28,GrowOut-A,Farming,Pangasius,Spring,20.5,Sunny,0.0,7.2,0.05,10.0,1,9738,35.0,228.0,3815,795,209,464083,-2549,Low,No
2022-03-29,GrowOut-A,Farming,Pangasius,Spring,21.2,Cloudy,0.0,7.5,0.07,9.8,0,9738,37.7,252.1,3705,590,214,525359,-4467,Low,No
2022-03-30,GrowOut-A,Farming,Pangasius,Spring,19.5,Partly Cloudy,0.0,7.2,0.04,10.6,1,9737,23.3,222.8,2388,874,227,492505,-2910,Low,No
2022-03-31,GrowOut-A,Farming,Pangasius,Spring,20.7,Cloudy,0.0,7.7,0.07,10.4,3,9734,38.8,250.4,4227,586,220,536392,-2922,Low,No
2022-04-01,GrowOut-A,Farming,Pangasius,Spring,22.7,Sunny,0.0,7.2,0.07,9.9,0,9734,45.7,295.2,4379,690,211,606304,-3767,Low,No
2022-04-02,GrowOut-A,Farming,Pangasius,Spring,22.2,Cloudy,0.0,7.5,0.22,7.9,11,9723,41.4,277.7,4292,613,208,562251,-2193,Low,No
2022-04-03,GrowOut-A,Farming,Pangasius,Spring,22.0,Cloudy,0.0,7.4,0.07,10.1,0,9723,34.7,232.8,3659,743,220,497973,-1917,Low,No
2022-04-04,GrowOut-A,Farming,Pangasius,Spring,20.6,Cloudy,0.0,7.2,0.07,10.0,1,9722,42.4,274.5,4728,717,217,579165,-1943,Low,No
2022-04-05,GrowOut-A,Farming,Pangasius,Spring,23.8,Sunny,0.0,7.0,0.05,8.8,0,9722,42.5,269.9,4675,706,218,572025,-4175,Low,No
2022-04-06,GrowOut-A,Farming,Pangasius,Spring,23.3,Sunny,0.0,7.7,0.07,9.2,0,9722,43.4,301.5,4546,610,223,653654,-3409,Low,No
2022-04-07,GrowOut-A,Farming,Pangasius,Spring,22.2,Cloudy,0.0,7.2,0.06,10.5,1,9721,41.1,304.4,3913,877,217,642185,-3350,Low,No
2022-04-08,GrowOut-A,Farming,Pangasius,Spring,22.9,Partly Cloudy,0.0,7.5,0.08,9.9,1,9720,39.7,294.2,4320,741,219,626322,-3172,Low,No
2022-04-09,GrowOut-A,Farming,Pangasius,Spring,21.7,Sunny,0.0,7.2,0.08,9.7,0,9720,36.7,248.4,3994,588,214,516692,-3526,Low,No
2022-04-10,GrowOut-A,Farming,Pangasius,Spring,22.6,Cloudy,0.0,7.2,0.09,10.0,0,9720,45.3,301.3,4979,599,218,638443,-3831,Low,No
2022-04-11,GrowOut-A,Farming,Pangasius,Spring,21.6,Partly Cloudy,0.0,8.0,0.07,10.0,0,9720,41.3,274.2,4083,504,211,562362,-1029,Low,No
2022-04-12,GrowOut-A,Farming,Pangasius,Spring,22.9,Cloudy,0.0,7.4,0.07,10.2,0,9720,41.3,280.3,4323,776,219,596669,-2527,Low,No
2022-04-13,GrowOut-A,Farming,Pangasius,Spring,24.7,Cloudy,0.0,7.9,0.1,9.7,0,9720,51.4,332.5,5083,552,216,698090,-3843,Low,No
2022-04-14,GrowOut-A,Farming,Pangasius,Spring,24.3,Cloudy,0.0,7.7,0.09,9.1,2,9718,51.4,377.5,5885,699,213,781561,-1551,Low,No
2022-04-15,GrowOut-A,Farming,Pangasius,Spring,25.4,Cloudy,0.0,7.1,0.1,8.6,3,9715,65.8,438.8,7399,708,210,895494,-4891,Low,No
2022-04-16,GrowOut-A,Farming,Pangasius,Spring,21.7,Partly Cloudy,0.0,7.7,0.1,9.9,0,9715,45.2,292.6,5145,665,220,625374,-5940,Low,No
2022-04-17,GrowOut-A,Farming,Pangasius,Spring,24.5,Partly Cloudy,0.0,7.8,0.09,9.2,1,9714,50.3,332.7,4832,517,218,704615,-739,Low,No
2022-04-18,GrowOut-A,Farming,Pangasius,Spring,23.4,Sunny,0.0,7.4,0.06,9.2,0,9714,63.4,445.3,6992,723,218,942990,-3699,Low,No
2022-04-19,GrowOut-A,Farming,Pangasius,Spring,22.3,Cloudy,0.0,7.0,0.08,9.4,0,9714,46.4,341.8,4684,715,215,713853,-3798,Low,No
2022-04-20,GrowOut-A,Farming,Pangasius,Spring,25.5,Cloudy,0.0,7.1,0.08,9.6,1,9713,46.9,347.7,4549,793,222,749818,-4325,Low,No
2022-04-21,GrowOut-A,Farming,Pangasius,Spring,24.6,Cloudy,0.0,7.3,0.08,9.2,1,9712,48.5,345.6,5143,520,216,725072,-3269,Low,No
2022-04-22,GrowOut-A,Farming,Pangasius,Spring,23.0,Cloudy,0.0,7.5,0.1,8.9,1,9711,56.9,393.7,5733,577,231,883255,-3700,Low,No
2022-04-23,GrowOut-A,Farming,Pangasius,Spring,23.3,Cloudy,0.0,7.2,0.1,9.3,3,9708,58.3,378.1,6461,715,221,811452,-2084,Low,No
2022-04-24,GrowOut-A,Farming,Pangasius,Spring,24.9,Partly Cloudy,0.0,7.4,0.11,8.9,1,9707,53.4,383.9,5232,570,225,838553,-4889,Low,No
2022-04-25,GrowOut-A,Farming,Pangasius,Spring,25.9,Sunny,0.0,7.8,0.1,8.8,2,9705,79.7,516.3,8885,865,215,1077521,-8384,Medium,No
2022-04-26,GrowOut-A,Farming,Pangasius,Spring,26.5,Cloudy,0.0,7.4,0.08,8.7,0,9705,65.4,435.9,6569,693,206,871464,-6548,Low,No
2022-04-27,GrowOut-A,Farming,Pangasius,Spring,23.4,Sunny,0.0,7.8,0.08,9.4,1,9704,74.5,502.1,7977,462,214,1042796,-809,Medium,No
2022-04-28,GrowOut-A,Farming,Pangasius,Spring,25.1,Cloudy,0.0,7.0,0.15,9.5,2,9702,73.1,494.0,8063,820,220,1054631,-8321,Medium,No
2022-04-29,GrowOut-A,Farming,Pangasius,Spring,26.1,Sunny,0.0,7.4,0.09,9.1,0,9702,67.6,496.2,7661,532,222,1068737,-4662,Medium,No
2022-04-30,GrowOut-A,Farming,Pangasius,Spring,24.6,Partly Cloudy,0.0,7.5,0.14,9.3,1,9701,79.0,550.8,8150,594,216,1154274,-966,Medium,No
2022-05-01,GrowOut-A,Farming,Pangasius,Spring,27.7,Partly Cloudy,0.0,7.0,0.15,8.7,1,9700,82.9,530.1,8974,630,219,1126208,-5119,Medium,No
2022-05-02,GrowOut-A,Farming,Pangasius,Spring,25.8,Partly Cloudy,0.0,7.5,0.09,9.7,1,9699,63.8,430.8,6209,798,215,898433,-3957,Low,No
2022-05-03,GrowOut-A,Farming,Pangasius,Spring,26.7,Sunny,0.0,7.3,0.14,8.7,0,9699,87.0,582.7,8984,534,211,1192489,-3698,Medium,No
2022-05-04,GrowOut-A,Farming,Pangasius,Spring,26.3,Partly Cloudy,0.0,7.5,0.16,8.8,1,9698,84.4,576.1,8362,697,210,1173395,-6669,Medium,No
2022-05-05,GrowOut-A,Farming,Pangasius,Spring,25.1,Cloudy,0.0,7.6,0.14,9.9,0,9698,83.2,530.1,8952,810,211,1084732,-8401,Medium,No
2022-05-06,GrowOut-A,Farming,Pangasius,Spring,25.3,Cloudy,0.0,7.4,0.08,9.5,0,9698,68.1,441.6,6776,829,228,976441,-3791,Low,No
2022-05-07,GrowOut-A,Farming,Pangasius,Spring,27.8,Sunny,0.0,7.9,0.14,8.4,1,9697,91.8,625.1,10433,581,220,1333688,-8050,Medium,No
2022-05-08,GrowOut-A,Farming,Pangasius,Spring,28.3,Partly Cloudy,0.0,7.7,0.14,8.1,0,9697,91.0,732.3,9648,623,223,1583548,-3186,Medium,No
2022-05-09,GrowOut-A,Farming,Pangasius,Spring,26.7,Cloudy,0.0,7.5,0.16,9.2,0,9697,102.5,669.9,10304,806,222,1442117,-6861,Medium,No
2022-05-10,GrowOut-A,Farming,Pangasius,Spring,25.4,Cloudy,0.0,6.9,0.37,5.8,14,9683,75.1,525.2,8006,747,215,1094966,-7605,Medium,No
2022-05-11,GrowOut-A,Farming,Pangasius,Spring,28.2,Cloudy,0.0,7.5,0.13,8.3,3,9680,87.7,637.0,9670,620,224,1381648,-6951,Medium,No
2022-05-12,GrowOut-A,Farming,Pangasius,Spring,29.9,Sunny,0.0,7.4,0.15,8.0,0,9680,91.7,802.7,9414,835,217,1686120,-8668,Medium,No
2022-05-13,GrowOut-A,Farming,Pangasius,Spring,27.7,Cloudy,0.0,7.5,0.14,8.3,1,9679,84.2,618.7,8641,895,220,1317584,-1660,Medium,No
2022-05-14,GrowOut-A,Farming,Pangasius,Spring,27.0,Sunny,0.0,7.3,0.13,8.8,1,9678,86.8,636.1,9118,716,218,1342185,-8639,Medium,No
2022-05-15,GrowOut-A,Farming,Pangasius,Spring,27.3,Partly Cloudy,0.0,7.7,0.16,8.3,0,9678,80.8,563.0,7701,515,216,1176922,-2736,Medium,No
2022-05-16,GrowOut-A,Farming,Pangasius,Spring,28.9,Sunny,0.0,7.3,0.14,8.2,0,9678,76.7,572.5,7693,730,210,1163538,-2574,Medium,No
2022-05-17,GrowOut-A,Farming,Pangasius,Spring,27.8,Partly Cloudy,0.0,7.5,0.18,8.7,0,9678,93.1,760.0,9552,592,212,1559319,167,Medium,No
2022-05-18,GrowOut-A,Farming,Pangasius,Spring,29.1,Partly Cloudy,0.0,7.1,0.16,8.6,2,9676,94.0,814.9,9059,734,214,1687733,-5853,Medium,No
2022-05-19,GrowOut-A,Farming,Pangasius,Spring,30.0,Sunny,0.0,7.3,0.18,8.6,1,9675,98.3,828.3,9532,735,218,1747190,-8384,Medium,No
2022-05-20,GrowOut-A,Farming,Pangasius,Spring,28.0,Sunny,0.0,7.4,0.15,8.8,0,9675,93.6,783.2,8978,808,213,1613999,-4622,Medium,No
2022-05-21,GrowOut-A,Farming,Pangasius,Spring,29.6,Partly Cloudy,0.0,7.1,0.15,8.5,1,9674,90.7,659.1,9643,807,213,1358257,-7801,Medium,No
2022-05-22,GrowOut-A,Farming,Pangasius,Spring,28.9,Cloudy,0.0,7.3,0.18,9.0,1,9673,101.9,861.7,10171,861,224,1867283,-6476,Medium,No
2022-05-23,GrowOut-A,Farming,Pangasius,Spring,30.5,Hot,0.0,7.5,0.15,8.0,0,9673,98.7,796.1,11151,659,210,1617142,-3016,Medium,No
2022-05-24,GrowOut-A,Farming,Pangasius,Spring,30.9,Sunny,0.0,7.3,0.16,8.5,0,9673,96.3,697.7,11051,585,218,1471250,-6980,Medium,No
2022-05-25,GrowOut-A,Farming,Pangasius,Spring,28.9,Partly Cloudy,0.0,7.2,0.17,8.1,3,9670,94.3,778.3,10843,834,219,1648741,-7600,Medium,No
2022-05-26,GrowOut-A,Farming,Pangasius,Spring,28.5,Cloudy,0.0,7.3,0.16,8.9,1,9669,87.0,748.7,9482,460,207,1498665,-2587,Medium,No
2022-05-27,GrowOut-A,Farming,Pangasius,Spring,28.9,Partly Cloudy,0.0,7.6,0.16,8.4,0,9669,91.7,668.8,10139,888,216,1396791,-4833,Medium,No
2022-05-28,GrowOut-A,Farming,Pangasius,Spring,28.6,Partly Cloudy,0.0,7.5,0.16,8.8,0,9669,107.6,894.0,11891,554,218,1884411,-6934,Medium,No
2022-05-29,GrowOut-A,Farming,Pangasius,Spring,30.7,Sunny,0.0,7.1,0.18,7.8,2,9667,115.2,919.6,12605,747,206,1831672,-10825,Medium,No
2022-05-30,GrowOut-A,Farming,Pangasius,Spring,27.4,Sunny,0.0,7.7,0.16,9.8,1,9666,97.9,902.5,9905,648,224,1954281,-4400,Medium,No
2022-05-31,GrowOut-A,Farming,Pangasius,Spring,31.6,Sunny,0.6,7.7,0.17,7.7,0,9666,93.0,761.8,10225,529,216,1590529,-742,Medium,No
2022-06-01,GrowOut-A,Farming,Pangasius,Monsoon,30.6,Hot,0.2,7.4,0.17,7.8,0,9666,106.0,922.5,11831,566,216,1926047,1215,Medium,No
2022-06-02,GrowOut-A,Farming,Pangasius,Monsoon,29.2,Partly Cloudy,0.8,7.1,0.18,8.6,0,9666,114.1,962.3,11102,883,214,1990541,170,Medium,No
2022-06-03,GrowOut-A,Farming,Pangasius,Monsoon,30.8,Sunny,2.3,7.8,0.17,8.2,0,9666,111.2,1037.3,12743,885,207,2075494,-4479,High,No
2022-06-04,GrowOut-A,Farming,Pangasius,Monsoon,30.8,Sunny,0.7,7.5,0.32,5.6,5,9661,118.8,1031.0,12885,753,202,2013060,-7054,High,No
2022-06-05,GrowOut-A,Farming,Pangasius,Monsoon,29.5,Cloudy,1.9,7.6,0.21,8.5,0,9661,125.9,1043.6,12549,461,217,2187842,2517,High,No
